Timestamp,People in frame,No. of violations,Locality,Latitude,Longitude,Locality Type,Zone Category,Distance from containment area
May 31 2020 03:15:30,33,17,City Park-Alpha2,28.504,77.502,Park,green,15
May 21 2020 12:25:27,43,16,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 23 2020 08:02:17,35,12,City Park-Alpha2,28.504,77.502,Park,green,15
May 09 2020 02:22:52,21,2,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 30 2020 12:28:21,37,17,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 13 2020 09:55:09,24,5,Edana-Alpha1,28.472,77.488,Residential,red,2
May 10 2020 11:40:40,48,19,City Park-Alpha2,28.504,77.502,Park,green,15
May 05 2020 11:36:19,0,16,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 23 2020 04:35:59,50,19,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 10 2020 11:00:59,23,5,Edana-Alpha1,28.472,77.488,Residential,red,2
May 01 2020 09:59:34,21,22,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 21 2020 07:17:16,7,14,City Park-Alpha2,28.504,77.502,Park,green,15
May 14 2020 01:06:34,34,13,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 26 2020 09:30:39,47,23,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 18 2020 03:03:32,5,25,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 05 2020 08:30:19,22,22,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 27 2020 11:20:47,42,21,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 18 2020 01:12:00,37,13,Edana-Alpha1,28.472,77.488,Residential,red,2
May 21 2020 12:03:37,0,25,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 05 2020 10:34:02,9,12,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 29 2020 05:41:45,32,16,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 10 2020 04:51:50,13,10,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 18 2020 04:43:30,8,23,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 17 2020 06:41:19,23,2,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 15 2020 02:10:24,14,16,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 26 2020 03:52:33,12,1,City Park-Alpha2,28.504,77.502,Park,green,15
May 18 2020 05:41:09,36,19,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 26 2020 12:38:18,2,2,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 04 2020 11:26:30,9,13,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 25 2020 08:49:26,11,0,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 17 2020 03:08:58,44,11,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 26 2020 11:33:43,4,15,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 12 2020 03:53:23,40,25,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 01 2020 08:42:19,32,9,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 12 2020 02:10:09,3,24,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 31 2020 06:16:16,9,11,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 15 2020 05:33:46,14,7,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 22 2020 06:09:32,27,11,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 25 2020 02:36:21,20,14,Edana-Alpha1,28.472,77.488,Residential,red,2
May 26 2020 07:01:42,49,12,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 18 2020 09:31:08,40,20,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 13 2020 09:37:51,27,15,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 19 2020 04:18:34,1,23,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 25 2020 12:15:33,49,13,City Park-Alpha2,28.504,77.502,Park,green,15
May 25 2020 02:45:44,33,17,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 04 2020 05:35:29,31,8,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 11 2020 12:27:39,45,12,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 16 2020 02:35:13,24,11,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 23 2020 11:33:43,40,12,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 27 2020 05:53:27,4,23,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 28 2020 06:14:27,22,8,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 16 2020 02:36:19,1,14,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 18 2020 01:00:42,21,4,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 22 2020 12:22:04,25,11,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 09 2020 11:49:57,8,21,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 02 2020 12:27:08,13,8,City Park-Alpha2,28.504,77.502,Park,green,15
May 09 2020 06:51:24,13,21,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 01 2020 01:06:14,23,12,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 28 2020 01:07:41,31,23,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 18 2020 04:25:05,5,9,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
Jun 01 2020 02:53:30,12,20,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 21 2020 05:50:20,17,19,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 07 2020 02:06:00,11,24,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 18 2020 02:51:55,12,8,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 18 2020 04:33:50,40,5,Edana-Alpha1,28.472,77.488,Residential,red,2
May 06 2020 08:47:04,8,11,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 24 2020 10:26:58,38,5,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 29 2020 05:28:04,17,23,Edana-Alpha1,28.472,77.488,Residential,red,2
May 04 2020 09:16:45,4,10,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 31 2020 10:27:53,28,6,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 09 2020 06:37:36,0,25,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 20 2020 05:40:55,29,17,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 07 2020 05:17:36,39,24,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 09 2020 08:35:11,11,9,Edana-Alpha1,28.472,77.488,Residential,red,2
May 01 2020 07:10:50,35,0,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 12 2020 03:44:57,49,18,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 15 2020 05:47:38,4,9,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 07 2020 08:27:56,25,3,City Park-Alpha2,28.504,77.502,Park,green,15
May 09 2020 06:28:50,42,15,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 15 2020 09:48:40,27,19,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 08 2020 11:10:02,5,19,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 11 2020 07:56:27,19,20,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 13 2020 09:38:37,8,0,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 26 2020 02:26:44,26,2,St. Josephs school-Alpha1,28.432,77.483,School,green,3
Jun 01 2020 01:16:11,7,10,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 29 2020 06:55:05,11,1,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 07 2020 08:02:29,31,19,City Park-Alpha2,28.504,77.502,Park,green,15
May 06 2020 04:28:16,12,13,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 16 2020 11:05:59,30,9,City Park-Alpha2,28.504,77.502,Park,green,15
May 20 2020 06:22:30,45,11,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 27 2020 10:52:21,49,12,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 19 2020 11:00:14,15,13,City Park-Alpha2,28.504,77.502,Park,green,15
May 06 2020 01:50:00,47,4,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 11 2020 11:24:51,10,11,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 18 2020 09:50:37,19,14,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 11 2020 02:25:26,7,4,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 03 2020 03:28:03,32,2,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 28 2020 02:10:02,4,25,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 07 2020 03:47:36,21,7,City Park-Alpha2,28.504,77.502,Park,green,15
May 24 2020 12:29:35,22,21,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 10 2020 01:57:59,19,0,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 22 2020 04:18:39,4,5,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 11 2020 09:03:58,26,14,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 27 2020 01:54:38,39,23,St. Josephs school-Alpha1,28.432,77.483,School,green,3
May 18 2020 01:00:35,12,20,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 08 2020 06:36:19,39,3,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 23 2020 06:54:53,4,20,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 13 2020 10:39:32,9,20,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 09 2020 02:33:31,24,13,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 29 2020 01:05:26,49,6,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 31 2020 06:55:56,15,16,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 14 2020 09:57:54,2,10,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 10 2020 03:11:15,8,7,Edana-Alpha1,28.472,77.488,Residential,red,2
May 24 2020 11:17:10,15,11,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 31 2020 07:03:26,5,3,Edana-Alpha1,28.472,77.488,Residential,red,2
May 27 2020 11:41:17,21,16,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 24 2020 06:40:02,23,22,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 07 2020 06:47:42,28,17,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 29 2020 02:27:57,20,7,Millenium village-Alpha1,28.402,77.498,Residential,orange,10
May 17 2020 05:54:11,36,16,Edana-Alpha1,28.472,77.488,Residential,red,2
May 02 2020 06:50:59,6,8,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 08 2020 07:40:32,49,19,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 25 2020 03:13:32,5,0,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 17 2020 02:43:10,21,21,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 20 2020 05:49:35,35,3,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 19 2020 05:05:48,40,11,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 19 2020 01:51:30,42,25,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 04 2020 12:04:34,17,8,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 14 2020 07:58:51,29,3,City Park-Alpha2,28.504,77.502,Park,green,15
May 08 2020 07:15:10,41,25,Arsh Complex-Alpha1,28.463,77.489,Commercial,red,5
May 20 2020 07:59:46,34,6,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 16 2020 12:17:58,20,14,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
May 12 2020 09:33:33,40,4,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 17 2020 08:57:53,38,24,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 09 2020 03:44:06,9,17,Golf Vista-Alpha2,28.501,77.51,Residential,red,7
May 15 2020 04:41:15,1,22,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 12 2020 12:05:12,16,12,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 19 2020 09:00:07,1,19,Central park-Alpha1,28.442,77.501,Park,green,0.5
May 01 2020 07:33:17,22,0,City Park-Alpha2,28.504,77.502,Park,green,15
May 01 2020 12:01:13,50,18,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 29 2020 08:36:26,43,18,Oasis homes-Alpha2,28.486,77.513,Residential,green,13
May 13 2020 05:04:10,23,3,Sommerville school-Alpha2,28.496,77.507,School,orange,17
May 20 2020 11:21:36,1,17,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 27 2020 06:55:11,8,12,Elder Homes-Alpha2,28.491,77.508,Old-Age Home,orange,19
May 09 2020 09:21:35,1,1,Sommerville school-Alpha2,28.496,77.507,School,orange,17
Jun 01 2020 06:40:37,29,7,Alpha commercial belt- Alpha1,28.455,77.499,Commercial,orange,1
